FECHA;INDICATIVO;TEMP_MEDIA_MIN
01-01-2022;1387;8.1
01-02-2022;1387;8.7
01-03-2022;1387;9.5
01-04-2022;1387;10.1
01-05-2022;1387;13.7
01-06-2022;1387;15.2
01-07-2022;1387;16.7
01-08-2022;1387;17.0
01-09-2022;1387;16.4
01-10-2022;1387;15.4
01-11-2022;1387;12.1
01-12-2022;1387;10.7
01-01-2022;1387E;4.0
01-02-2022;1387E;5.1
01-03-2022;1387E;0
01-04-2022;1387E;7.2
01-05-2022;1387E;11.1
01-06-2022;1387E;13.6
01-07-2022;1387E;15.3
01-08-2022;1387E;16.0
01-09-2022;1387E;13.6
01-10-2022;1387E;13.6
01-11-2022;1387E;9.6
01-12-2022;1387E;8.1
01-01-2022;1428;3.3
01-02-2022;1428;4.3
01-03-2022;1428;5.2
01-04-2022;1428;5.8
01-05-2022;1428;10.1
01-06-2022;1428;12.0
01-07-2022;1428;14.8
01-08-2022;1428;15.0
01-09-2022;1428;12.5
01-10-2022;1428;12.2
01-11-2022;1428;7.9
01-12-2022;1428;7.1
01-01-2022;8175;-2.1
01-02-2022;8175;1.9
01-03-2022;8175;5.7
01-04-2022;8175;5.0
01-05-2022;8175;10.8
01-06-2022;8175;16.1
01-07-2022;8175;19.0
01-08-2022;8175;18.0
01-09-2022;8175;14.3
01-10-2022;8175;11.8
01-11-2022;8175;5.9
01-12-2022;8175;5.0
01-01-2022;8178D;-0.7
01-02-2022;8178D;3.2
01-03-2022;8178D;6.3
01-04-2022;8178D;5.8
01-05-2022;8178D;12.0
01-06-2022;8178D;17.4
01-07-2022;8178D;19.9
01-08-2022;8178D;18.9
01-09-2022;8178D;15.7
01-10-2022;8178D;12.6
01-11-2022;8178D;7.2
01-12-2022;8178D;6.0
01-01-2022;8025;5.0
01-02-2022;8025;7.9
01-03-2022;8025;10.5
01-04-2022;8025;11.3
01-05-2022;8025;15.5
01-06-2022;8025;19.8
01-07-2022;8025;22.4
01-08-2022;8025;22.9
01-09-2022;8025;20.2
01-10-2022;8025;16.3
01-11-2022;8025;12.5
01-12-2022;8025;9.9
01-01-2022;8019;5.5
01-02-2022;8019;7.3
01-03-2022;8019;10.0
01-04-2022;8019;10.4
01-05-2022;8019;14.8
01-06-2022;8019;19.0
01-07-2022;8019;22.5
01-08-2022;8019;22.6
01-09-2022;8019;20.0
01-10-2022;8019;16.7
01-11-2022;8019;12.2
01-12-2022;8019;9.7
01-01-2022;6325O;9.0
01-02-2022;6325O;9.7
01-03-2022;6325O;11.9
01-04-2022;6325O;12.1
01-05-2022;6325O;16.9
01-06-2022;6325O;19.5
01-07-2022;6325O;23.6
01-08-2022;6325O;24.2
01-09-2022;6325O;20.3
01-10-2022;6325O;18.8
01-11-2022;6325O;13.8
01-12-2022;6325O;11.4
01-01-2022;9091O;-0.8
01-02-2022;9091O;0.2
01-03-2022;9091O;4.3
01-04-2022;9091O;4.2
01-05-2022;9091O;8.8
01-06-2022;9091O;12.2
01-07-2022;9091O;12.6
01-08-2022;9091O;14.5
01-09-2022;9091O;9.5
01-10-2022;9091O;10.5
01-11-2022;9091O;4.5
01-12-2022;9091O;5.1
01-01-2022;1212E;5.7
01-02-2022;1212E;6.6
01-03-2022;1212E;7.3
01-04-2022;1212E;0
01-05-2022;1212E;0
01-06-2022;1212E;14.2
01-07-2022;1212E;16.1
01-08-2022;1212E;16.8
01-09-2022;1212E;0
01-10-2022;1212E;13.4
01-11-2022;1212E;9.6
01-12-2022;1212E;0
01-01-2022;1208H;7.8
01-02-2022;1208H;8.4
01-03-2022;1208H;9.3
01-04-2022;1208H;9.7
01-05-2022;1208H;14.0
01-06-2022;1208H;16.0
01-07-2022;1208H;18.4
01-08-2022;1208H;18.9
01-09-2022;1208H;16.5
01-10-2022;1208H;15.6
01-11-2022;1208H;11.2
01-12-2022;1208H;10.2
01-01-2022;1249I;4.0
01-02-2022;1249I;5.2
01-03-2022;1249I;6.8
01-04-2022;1249I;6.7
01-05-2022;1249I;11.5
01-06-2022;1249I;13.6
01-07-2022;1249I;16.5
01-08-2022;1249I;16.7
01-09-2022;1249I;13.8
01-10-2022;1249I;13.8
01-11-2022;1249I;8.2
01-12-2022;1249I;7.5
01-01-2022;2444;-1.2
01-02-2022;2444;0.3
01-03-2022;2444;3.0
01-04-2022;2444;3.1
01-05-2022;2444;9.7
01-06-2022;2444;13.2
01-07-2022;2444;17.1
01-08-2022;2444;16.5
01-09-2022;2444;10.8
01-10-2022;2444;10.7
