FECHA;INDICATIVO;DIAS_GRA
01-01-2023;1387;1
01-02-2023;1387;2
01-03-2023;1387;0
01-04-2023;1387;0
01-05-2023;1387;0
01-06-2023;1387;0
01-07-2023;1387;0
01-08-2023;1387;0
01-09-2023;1387;0
01-10-2023;1387;1
01-11-2023;1387;0
01-12-2023;1387;0
01-01-2023;1387E;2
01-02-2023;1387E;1
01-03-2023;1387E;0
01-04-2023;1387E;0
01-05-2023;1387E;0
01-06-2023;1387E;1
01-07-2023;1387E;0
01-08-2023;1387E;0
01-09-2023;1387E;0
01-10-2023;1387E;0
01-11-2023;1387E;1
01-12-2023;1387E;0
01-01-2023;1428;0
01-02-2023;1428;0
01-03-2023;1428;0
01-04-2023;1428;0
01-05-2023;1428;1
01-06-2023;1428;2
01-07-2023;1428;0
01-08-2023;1428;0
01-09-2023;1428;0
01-10-2023;1428;0
01-11-2023;1428;1
01-12-2023;1428;0
01-01-2023;8175;0
01-02-2023;8175;0
01-03-2023;8175;0
01-04-2023;8175;0
01-05-2023;8175;0
01-06-2023;8175;0
01-07-2023;8175;0
01-08-2023;8175;0
01-09-2023;8175;0
01-10-2023;8175;0
01-11-2023;8175;0
01-12-2023;8175;0
01-01-2023;8178D;0
01-02-2023;8178D;0
01-03-2023;8178D;0
01-04-2023;8178D;0
01-05-2023;8178D;0
01-06-2023;8178D;0
01-07-2023;8178D;0
01-08-2023;8178D;0
01-09-2023;8178D;1
01-10-2023;8178D;0
01-11-2023;8178D;0
01-12-2023;8178D;0
01-01-2023;8025;0
01-02-2023;8025;0
01-03-2023;8025;0
01-04-2023;8025;0
01-05-2023;8025;0
01-06-2023;8025;0
01-07-2023;8025;0
01-08-2023;8025;0
01-09-2023;8025;0
01-10-2023;8025;0
01-11-2023;8025;0
01-12-2023;8025;0
01-01-2023;8019;0
01-02-2023;8019;0
01-03-2023;8019;0
01-04-2023;8019;0
01-05-2023;8019;0
01-06-2023;8019;0
01-07-2023;8019;0
01-08-2023;8019;0
01-09-2023;8019;0
01-10-2023;8019;0
01-11-2023;8019;0
01-12-2023;8019;0
01-01-2023;6325O;0
01-02-2023;6325O;0
01-03-2023;6325O;0
01-04-2023;6325O;0
01-05-2023;6325O;0
01-06-2023;6325O;0
01-07-2023;6325O;0
01-08-2023;6325O;0
01-09-2023;6325O;0
01-10-2023;6325O;0
01-11-2023;6325O;0
01-12-2023;6325O;0
01-01-2023;9091O;0
01-02-2023;9091O;0
01-03-2023;9091O;0
01-04-2023;9091O;0
01-05-2023;9091O;0
01-06-2023;9091O;1
01-07-2023;9091O;1
01-08-2023;9091O;0
01-09-2023;9091O;0
01-10-2023;9091O;0
01-11-2023;9091O;0
01-12-2023;9091O;0
01-01-2023;1212E;2
01-02-2023;1212E;0
01-03-2023;1212E;0
01-04-2023;1212E;0
01-05-2023;1212E;0
01-06-2023;1212E;0
01-07-2023;1212E;0
01-08-2023;1212E;0
01-09-2023;1212E;0
01-10-2023;1212E;0
01-11-2023;1212E;0
01-12-2023;1212E;0
01-01-2023;1208H;2
01-02-2023;1208H;0
01-03-2023;1208H;0
01-04-2023;1208H;0
01-05-2023;1208H;0
01-06-2023;1208H;1
01-07-2023;1208H;0
01-08-2023;1208H;0
01-09-2023;1208H;0
01-10-2023;1208H;0
01-11-2023;1208H;0
01-12-2023;1208H;0
01-01-2023;1249I;2
01-02-2023;1249I;0
01-03-2023;1249I;0
01-04-2023;1249I;0
01-05-2023;1249I;0
01-06-2023;1249I;0
01-07-2023;1249I;0
01-08-2023;1249I;0
01-09-2023;1249I;0
01-10-2023;1249I;0
01-11-2023;1249I;0
01-12-2023;1249I;0
01-01-2023;2444;0
01-02-2023;2444;1
01-03-2023;2444;0
01-04-2023;2444;0
01-05-2023;2444;1
01-06-2023;2444;0
01-07-2023;2444;0
01-08-2023;2444;0
01-09-2023;2444;0
01-10-2023;2444;0
01-11-2023;2444;0
01-12-2023;2444;0
01-01-2023;4452;0
01-02-2023;4452;0
01-03-2023;4452;0
01-04-2023;4452;0
01-05-2023;4452;0
01-06-2023;4452;0
01-07-2023;4452;0
01-08-2023;4452;0
01-09-2023;4452;0
01-10-2023;4452;0
01-11-2023;4452;0
01-12-2023;4452;0
01-01-2023;B954;0
01-02-2023;B954;0
01-03-2023;B954;0
01-04-2023;B954;0
01-05-2023;B954;0
01-06-2023;B954;0
01-07-2023;B954;0
01-08-2023;B954;0
01-09-2023;B954;0
01-10-2023;B954;0
01-11-2023;B954;0
01-12-2023;B954;0
01-01-2023;B893;1
01-02-2023;B893;1
01-03-2023;B893;0
01-04-2023;B893;1
01-05-2023;B893;0
01-06-2023;B893;0
01-07-2023;B893;0
01-08-2023;B893;0
01-09-2023;B893;0
01-10-2023;B893;0
01-11-2023;B893;0
01-12-2023;B893;0
01-01-2023;B278;0
01-02-2023;B278;0
01-03-2023;B278;0
01-04-2023;B278;0
01-05-2023;B278;0
01-06-2023;B278;0
01-07-2023;B278;0
01-08-2023;B278;0
01-09-2023;B278;0
01-10-2023;B278;0
01-11-2023;B278;1
01-12-2023;B278;0
01-01-2023;B228;1
01-02-2023;B228;0
01-03-2023;B228;0
01-04-2023;B228;0
01-05-2023;B228;2
01-06-2023;B228;0
01-07-2023;B228;0
01-08-2023;B228;0
01-09-2023;B228;0
01-10-2023;B228;0
01-11-2023;B228;0
01-12-2023;B228;0
01-01-2023;0200E;0
01-02-2023;0200E;0
01-03-2023;0200E;0
01-04-2023;0200E;0
01-05-2023;0200E;0
01-06-2023;0200E;0
01-07-2023;0200E;0
01-08-2023;0200E;0
01-09-2023;0200E;0
01-10-2023;0200E;0
01-11-2023;0200E;0
01-12-2023;0200E;0
01-01-2023;0076;0
01-02-2023;0076;0
01-03-2023;0076;0
01-04-2023;0076;0
01-05-2023;0076;0
01-06-2023;0076;0
01-07-2023;0076;0
01-08-2023;0076;0
01-09-2023;0076;0
01-10-2023;0076;0
01-11-2023;0076;0
01-12-2023;0076;0
01-01-2023;1082;2
01-02-2023;1082;0
01-03-2023;1082;0
01-04-2023;1082;0
01-05-2023;1082;1
01-06-2023;1082;0
01-07-2023;1082;0
