FECHA;INDICATIVO;VIENTO_sup_55
01-01-2023;1387;0
01-02-2023;1387;0
01-03-2023;1387;13
01-04-2023;1387;0
01-05-2023;1387;0
01-06-2023;1387;0
01-07-2023;1387;2
01-08-2023;1387;1
01-09-2023;1387;2
01-10-2023;1387;13
01-11-2023;1387;12
01-12-2023;1387;13
01-01-2023;1387E;11
01-02-2023;1387E;0
01-03-2023;1387E;13
01-04-2023;1387E;1
01-05-2023;1387E;0
01-06-2023;1387E;0
01-07-2023;1387E;2
01-08-2023;1387E;0
01-09-2023;1387E;4
01-10-2023;1387E;12
01-11-2023;1387E;0
01-12-2023;1387E;7
01-01-2023;1428;6
01-02-2023;1428;1
01-03-2023;1428;0
01-04-2023;1428;0
01-05-2023;1428;0
01-06-2023;1428;2
01-07-2023;1428;0
01-08-2023;1428;1
01-09-2023;1428;1
01-10-2023;1428;0
01-11-2023;1428;0
01-12-2023;1428;0
01-01-2023;8175;0
01-02-2023;8175;0
01-03-2023;8175;0
01-04-2023;8175;0
01-05-2023;8175;0
01-06-2023;8175;0
01-07-2023;8175;2
01-08-2023;8175;3
01-09-2023;8175;0
01-10-2023;8175;0
01-11-2023;8175;0
01-12-2023;8175;0
01-01-2023;8178D;0
01-02-2023;8178D;0
01-03-2023;8178D;0
01-04-2023;8178D;0
01-05-2023;8178D;0
01-06-2023;8178D;0
01-07-2023;8178D;1
01-08-2023;8178D;1
01-09-2023;8178D;1
01-10-2023;8178D;2
01-11-2023;8178D;0
01-12-2023;8178D;0
01-01-2023;8025;3
01-02-2023;8025;0
01-03-2023;8025;1
01-04-2023;8025;0
01-05-2023;8025;0
01-06-2023;8025;0
01-07-2023;8025;0
01-08-2023;8025;0
01-09-2023;8025;1
01-10-2023;8025;0
01-11-2023;8025;3
01-12-2023;8025;0
01-01-2023;8019;0
01-02-2023;8019;3
01-03-2023;8019;0
01-04-2023;8019;2
01-05-2023;8019;3
01-06-2023;8019;0
01-07-2023;8019;0
01-08-2023;8019;1
01-09-2023;8019;1
01-10-2023;8019;0
01-11-2023;8019;8
01-12-2023;8019;0
01-01-2023;6325O;7
01-02-2023;6325O;10
01-03-2023;6325O;2
01-04-2023;6325O;0
01-05-2023;6325O;0
01-06-2023;6325O;3
01-07-2023;6325O;0
01-08-2023;6325O;3
01-09-2023;6325O;4
01-10-2023;6325O;5
01-11-2023;6325O;5
01-12-2023;6325O;0
01-01-2023;9091O;7
01-02-2023;9091O;0
01-03-2023;9091O;0
01-04-2023;9091O;3
01-05-2023;9091O;0
01-06-2023;9091O;2
01-07-2023;9091O;1
01-08-2023;9091O;0
01-09-2023;9091O;0
01-10-2023;9091O;8
01-11-2023;9091O;8
01-12-2023;9091O;0
01-01-2023;1212E;9
01-02-2023;1212E;1
01-03-2023;1212E;0
01-04-2023;1212E;4
01-05-2023;1212E;0
01-06-2023;1212E;0
01-07-2023;1212E;0
01-08-2023;1212E;0
01-09-2023;1212E;0
01-10-2023;1212E;7
01-11-2023;1212E;12
01-12-2023;1212E;0
01-01-2023;2444;5
01-02-2023;2444;1
01-03-2023;2444;2
01-04-2023;2444;0
01-05-2023;2444;1
01-06-2023;2444;0
01-07-2023;2444;2
01-08-2023;2444;0
01-09-2023;2444;0
01-10-2023;2444;4
01-11-2023;2444;4
01-12-2023;2444;0
01-01-2023;4452;1
01-02-2023;4452;0
01-03-2023;4452;0
01-04-2023;4452;0
01-05-2023;4452;0
01-06-2023;4452;0
01-07-2023;4452;0
01-08-2023;4452;0
01-09-2023;4452;0
01-10-2023;4452;1
01-11-2023;4452;2
01-12-2023;4452;0
01-01-2023;B954;0
01-02-2023;B954;0
01-03-2023;B954;0
01-04-2023;B954;0
01-05-2023;B954;0
01-06-2023;B954;0
01-07-2023;B954;0
01-08-2023;B954;1
01-09-2023;B954;2
01-10-2023;B954;5
01-11-2023;B954;0
01-12-2023;B954;0
01-01-2023;B893;15
01-02-2023;B893;9
01-03-2023;B893;6
01-04-2023;B893;8
01-05-2023;B893;8
01-06-2023;B893;2
01-07-2023;B893;1
01-08-2023;B893;3
01-09-2023;B893;3
01-10-2023;B893;0
01-11-2023;B893;9
01-12-2023;B893;0
01-01-2023;B278;6
01-02-2023;B278;0
01-03-2023;B278;0
01-04-2023;B278;0
01-05-2023;B278;1
01-06-2023;B278;0
01-07-2023;B278;0
01-08-2023;B278;3
01-09-2023;B278;1
01-10-2023;B278;6
01-11-2023;B278;6
01-12-2023;B278;4
01-01-2023;B228;3
01-02-2023;B228;0
01-03-2023;B228;2
01-04-2023;B228;1
01-05-2023;B228;0
01-06-2023;B228;0
01-07-2023;B228;0
01-08-2023;B228;0
01-09-2023;B228;0
01-10-2023;B228;2
01-11-2023;B228;3
01-12-2023;B228;0
01-01-2023;0200E;9
01-02-2023;0200E;7
01-03-2023;0200E;4
01-04-2023;0200E;1
01-05-2023;0200E;0
01-06-2023;0200E;1
01-07-2023;0200E;1
01-08-2023;0200E;1
01-09-2023;0200E;0
01-10-2023;0200E;0
01-11-2023;0200E;0
01-12-2023;0200E;0
01-01-2023;1082;9
01-02-2023;1082;1
01-03-2023;1082;10
01-04-2023;1082;5
01-05-2023;1082;2
01-06-2023;1082;0
01-07-2023;1082;0
01-08-2023;1082;2
01-09-2023;1082;2
01-10-2023;1082;9
01-11-2023;1082;5
01-12-2023;1082;7
01-01-2023;2331;7
01-02-2023;2331;2
01-03-2023;2331;8
01-04-2023;2331;3
01-05-2023;2331;3
01-06-2023;2331;2
01-07-2023;2331;1
01-08-2023;2331;0
01-09-2023;2331;0
01-10-2023;2331;8
01-11-2023;2331;7
01-12-2023;2331;2
01-01-2023;3469A;5
01-02-2023;3469A;0
01-03-2023;3469A;2
01-04-2023;3469A;0
01-05-2023;3469A;3
01-06-2023;3469A;1
01-07-2023;3469A;0
01-08-2023;3469A;0
01-09-2023;3469A;1
01-10-2023;3469A;7
01-11-2023;3469A;6
01-12-2023;3469A;0
01-01-2023;5973;3
01-02-2023;5973;10
01-03-2023;5973;1
01-04-2023;5973;7
01-05-2023;5973;2
01-06-2023;5973;5
01-07-2023;5973;0
01-08-2023;5973;6
01-09-2023;5973;4
01-10-2023;5973;9
01-11-2023;5973;1
01-12-2023;5973;2
01-01-2023;5960;0
01-02-2023;5960;3
01-03-2023;5960;0
01-04-2023;5960;0
01-05-2023;5960;0
01-06-2023;5960;0
01-07-2023;5960;0
01-08-2023;5960;0
01-09-2023;5960;0
01-10-2023;5960;0
01-11-2023;5960;2
01-12-2023;5960;0
01-01-2023;5910;4
01-02-2023;5910;0
01-03-2023;5910;0
01-04-2023;5910;3
01-05-2023;5910;3
01-06-2023;5910;4
01-07-2023;5910;0
01-08-2023;5910;3
01-09-2023;5910;1
01-10-2023;5910;3
01-11-2023;5910;3
01-12-2023;5910;0
01-01-2023;6001;0
01-02-2023;6001;15
01-03-2023;6001;0
01-04-2023;6001;12
01-05-2023;6001;6
01-06-2023;6001;12
01-07-2023;6001;4
01-08-2023;6001;12
01-09-2023;6001;10
01-10-2023;6001;16
01-11-2023;6001;4
01-12-2023;6001;6
01-01-2023;1111;10
01-02-2023;1111;1
01-03-2023;1111;0
01-04-2023;1111;5
01-05-2023;1111;2
01-06-2023;1111;0
01-07-2023;1111;0
01-08-2023;1111;1
01-09-2023;1111;4
01-10-2023;1111;8
01-11-2023;1111;13
01-12-2023;1111;11
01-01-2023;1109;11
01-02-2023;1109;2
01-03-2023;1109;7
01-04-2023;1109;4
01-05-2023;1109;1
01-06-2023;1109;0
01-07-2023;1109;0
01-08-2023;1109;2
01-09-2023;1109;4
01-10-2023;1109;8
01-11-2023;1109;9
01-12-2023;1109;10
01-01-2023;8500A;2
01-02-2023;8500A;0
01-03-2023;8500A;0
01-04-2023;8500A;1
01-05-2023;8500A;0
01-06-2023;8500A;0
01-07-2023;8500A;1
01-08-2023;8500A;0
01-09-2023;8500A;0
01-10-2023;8500A;1
01-11-2023;8500A;3
01-12-2023;8500A;1
01-01-2023;5000C;3
01-02-2023;5000C;4
01-03-2023;5000C;0
01-04-2023;5000C;2
01-05-2023;5000C;0
01-06-2023;5000C;0
01-07-2023;5000C;0
01-08-2023;5000C;3
01-09-2023;5000C;0
01-10-2023;5000C;3
01-11-2023;5000C;2
01-12-2023;5000C;2
01-01-2023;4121;1
01-02-2023;4121;0
01-03-2023;4121;0
01-04-2023;4121;0
01-05-2023;4121;0
01-06-2023;4121;0
01-07-2023;4121;0
01-08-2023;4121;0
01-09-2023;4121;0
01-10-2023;4121;2
01-11-2023;4121;2
01-12-2023;4121;0
01-01-2023;5402;0
01-02-2023;5402;0
01-03-2023;5402;0
01-04-2023;5402;0
01-05-2023;5402;0
01-06-2023;5402;0
01-07-2023;5402;0
01-08-2023;5402;1
01-09-2023;5402;1
01-10-2023;5402;0
01-11-2023;5402;0
01-12-2023;5402;0
01-01-2023;8096;0
01-02-2023;8096;0
01-03-2023;8096;0
01-04-2023;8096;0
01-05-2023;8096;0
01-06-2023;8096;0
01-07-2023;8096;1
01-08-2023;8096;0
01-09-2023;8096;1
01-10-2023;8096;0
01-11-2023;8096;0
01-12-2023;8096;0
