FECHA;INDICATIVO;LLUVIA_sup_1mm
01-01-2023;1387;15
01-02-2023;1387;5
01-03-2023;1387;13
01-04-2023;1387;6
01-05-2023;1387;4
01-06-2023;1387;9
01-07-2023;1387;10
01-08-2023;1387;9
01-09-2023;1387;11
01-10-2023;1387;19
01-11-2023;1387;18
01-12-2023;1387;18
01-01-2023;1387E;14
01-02-2023;1387E;5
01-03-2023;1387E;9
01-04-2023;1387E;5
01-05-2023;1387E;4
01-06-2023;1387E;10
01-07-2023;1387E;3
01-08-2023;1387E;6
01-09-2023;1387E;10
01-10-2023;1387E;19
01-11-2023;1387E;17
01-12-2023;1387E;16
01-01-2023;1428;16
01-02-2023;1428;5
01-03-2023;1428;16
01-04-2023;1428;8
01-05-2023;1428;7
01-06-2023;1428;10
01-07-2023;1428;4
01-08-2023;1428;5
01-09-2023;1428;10
01-10-2023;1428;18
01-11-2023;1428;19
01-12-2023;1428;15
01-01-2023;8175;0
01-02-2023;8175;3
01-03-2023;8175;3
01-04-2023;8175;0
01-05-2023;8175;8
01-06-2023;8175;7
01-07-2023;8175;0
01-08-2023;8175;0
01-09-2023;8175;6
01-10-2023;8175;5
01-11-2023;8175;2
01-12-2023;8175;1
01-01-2023;8178D;3
01-02-2023;8178D;2
01-03-2023;8178D;3
01-04-2023;8178D;0
01-05-2023;8178D;4
01-06-2023;8178D;7
01-07-2023;8178D;0
01-08-2023;8178D;0
01-09-2023;8178D;6
01-10-2023;8178D;6
01-11-2023;8178D;1
01-12-2023;8178D;1
01-01-2023;8025;0
01-02-2023;8025;1
01-03-2023;8025;1
01-04-2023;8025;1
01-05-2023;8025;11
01-06-2023;8025;2
01-07-2023;8025;0
01-08-2023;8025;0
01-09-2023;8025;4
01-10-2023;8025;1
01-11-2023;8025;0
01-12-2023;8025;1
01-01-2023;8019;0
01-02-2023;8019;3
01-03-2023;8019;2
01-04-2023;8019;1
01-05-2023;8019;12
01-06-2023;8019;2
01-07-2023;8019;0
01-08-2023;8019;0
01-09-2023;8019;4
01-10-2023;8019;1
01-11-2023;8019;0
01-12-2023;8019;1
01-01-2023;6325O;1
01-02-2023;6325O;0
01-03-2023;6325O;1
01-04-2023;6325O;0
01-05-2023;6325O;5
01-06-2023;6325O;1
01-07-2023;6325O;0
01-08-2023;6325O;0
01-09-2023;6325O;2
01-10-2023;6325O;2
01-11-2023;6325O;0
01-12-2023;6325O;1
01-01-2023;9091O;13
01-02-2023;9091O;3
01-03-2023;9091O;4
01-04-2023;9091O;7
01-05-2023;9091O;7
01-06-2023;9091O;11
01-07-2023;9091O;2
01-08-2023;9091O;2
01-09-2023;9091O;7
01-10-2023;9091O;8
01-11-2023;9091O;15
01-12-2023;9091O;11
01-01-2023;1212E;17
01-02-2023;1212E;4
01-03-2023;1212E;5
01-04-2023;1212E;7
01-05-2023;1212E;13
01-06-2023;1212E;11
01-07-2023;1212E;3
01-08-2023;1212E;11
01-09-2023;1212E;9
01-10-2023;1212E;14
01-11-2023;1212E;18
01-12-2023;1212E;12
01-01-2023;1208H;15
01-02-2023;1208H;4
01-03-2023;1208H;4
01-04-2023;1208H;7
01-05-2023;1208H;10
01-06-2023;1208H;9
01-07-2023;1208H;5
01-08-2023;1208H;9
01-09-2023;1208H;7
01-10-2023;1208H;15
01-11-2023;1208H;17
01-12-2023;1208H;10
01-01-2023;1249I;17
01-02-2023;1249I;0
01-03-2023;1249I;0
01-04-2023;1249I;0
01-05-2023;1249I;0
01-06-2023;1249I;0
01-07-2023;1249I;0
01-08-2023;1249I;0
01-09-2023;1249I;0
01-10-2023;1249I;0
01-11-2023;1249I;0
01-12-2023;1249I;0
01-01-2023;2444;6
01-02-2023;2444;2
01-03-2023;2444;2
01-04-2023;2444;2
01-05-2023;2444;9
01-06-2023;2444;10
01-07-2023;2444;1
01-08-2023;2444;0
01-09-2023;2444;3
01-10-2023;2444;8
01-11-2023;2444;5
01-12-2023;2444;3
01-01-2023;4452;3
01-02-2023;4452;2
01-03-2023;4452;2
01-04-2023;4452;1
01-05-2023;4452;4
01-06-2023;4452;3
01-07-2023;4452;0
01-08-2023;4452;0
01-09-2023;4452;5
01-10-2023;4452;8
01-11-2023;4452;6
01-12-2023;4452;6
01-01-2023;B954;5
01-02-2023;B954;6
01-03-2023;B954;2
01-04-2023;B954;0
01-05-2023;B954;2
01-06-2023;B954;0
01-07-2023;B954;0
01-08-2023;B954;2
01-09-2023;B954;4
01-10-2023;B954;0
01-11-2023;B954;1
01-12-2023;B954;1
01-01-2023;B893;9
01-02-2023;B893;7
01-03-2023;B893;1
01-04-2023;B893;2
01-05-2023;B893;8
01-06-2023;B893;3
01-07-2023;B893;0
01-08-2023;B893;1
01-09-2023;B893;5
01-10-2023;B893;5
01-11-2023;B893;3
01-12-2023;B893;3
01-01-2023;B278;6
01-02-2023;B278;6
01-03-2023;B278;1
01-04-2023;B278;2
01-05-2023;B278;4
01-06-2023;B278;1
01-07-2023;B278;1
01-08-2023;B278;2
01-09-2023;B278;7
01-10-2023;B278;4
01-11-2023;B278;3
01-12-2023;B278;1
01-01-2023;B228;9
01-02-2023;B228;7
01-03-2023;B228;1
01-04-2023;B228;2
01-05-2023;B228;6
01-06-2023;B228;1
01-07-2023;B228;0
01-08-2023;B228;2
01-09-2023;B228;5
01-10-2023;B228;4
01-11-2023;B228;3
01-12-2023;B228;1
01-01-2023;0200E;2
01-02-2023;0200E;3
01-03-2023;0200E;0
01-04-2023;0200E;2
01-05-2023;0200E;10
01-06-2023;0200E;3
01-07-2023;0200E;3
01-08-2023;0200E;3
01-09-2023;0200E;2
01-10-2023;0200E;3
01-11-2023;0200E;1
01-12-2023;0200E;2
01-01-2023;0076;0
01-02-2023;0076;3
01-03-2023;0076;1
01-04-2023;0076;1
01-05-2023;0076;5
01-06-2023;0076;2
01-07-2023;0076;0
01-08-2023;0076;5
01-09-2023;0076;3
01-10-2023;0076;4
01-11-2023;0076;0
01-12-2023;0076;1
01-01-2023;1082;18
01-02-2023;1082;3
01-03-2023;1082;5
01-04-2023;1082;8
01-05-2023;1082;11
01-06-2023;1082;9
01-07-2023;1082;9
01-08-2023;1082;9
01-09-2023;1082;11
01-10-2023;1082;11
01-11-2023;1082;20
