FECHA;INDICATIVO;TEMP_MIN
01-01-2022;1387;3.8(26)
01-02-2022;1387;5.7(06)
01-03-2022;1387;3.5(07)
01-04-2022;1387;5.3(02)
01-05-2022;1387;11.5(07)
01-06-2022;1387;12.1(28)
01-07-2022;1387;13.0(01)
01-08-2022;1387;14.4(13)
01-09-2022;1387;12.5(30)
01-10-2022;1387;12.3(23)
01-11-2022;1387;9.7(22)
01-12-2022;1387;4.3(04)
01-01-2022;1387E;-1.8(23)
01-02-2022;1387E;-0.3(06)
01-03-2022;1387E;0
01-04-2022;1387E;-0.7(05)
01-05-2022;1387E;5.9(06)
01-06-2022;1387E;8.2(28)
01-07-2022;1387E;9.6(01)
01-08-2022;1387E;12.1(18)
01-09-2022;1387E;8.3(30)
01-10-2022;1387E;9.3(05)
01-11-2022;1387E;5.6(05)
01-12-2022;1387E;-1.4(04)
01-01-2022;1428;-2.2(29)
01-02-2022;1428;-0.4(19)
01-03-2022;1428;-1.2(05)
01-04-2022;1428;-0.9(05)
01-05-2022;1428;6.2(05)
01-06-2022;1428;6.0(28)
01-07-2022;1428;7.9(01)
01-08-2022;1428;10.0(18)
01-09-2022;1428;6.7(30)
01-10-2022;1428;8.1(31)
01-11-2022;1428;3.6(05)
01-12-2022;1428;0.0(04)
01-01-2022;8175;-6.7(29)
01-02-2022;8175;-2.8(02)
01-03-2022;8175;-0.8(09)
01-04-2022;8175;-3.6(03)
01-05-2022;8175;5.7(06)
01-06-2022;8175;13.0(05)
01-07-2022;8175;14.9(01)
01-08-2022;8175;12.5(19)
01-09-2022;8175;7.8(27)
01-10-2022;8175;5.2(01)
01-11-2022;8175;-1.4(27)
01-12-2022;8175;-0.8(28)
01-01-2022;8178D;-5.2(14)
01-02-2022;8178D;-0.5(10)
01-03-2022;8178D;1.2(09)
01-04-2022;8178D;-1.9(03)
01-05-2022;8178D;7.1(25)
01-06-2022;8178D;13.3(22)
01-07-2022;8178D;16.4(01)
01-08-2022;8178D;14.3(18)
01-09-2022;8178D;7.7(30)
01-10-2022;8178D;7.6(01)
01-11-2022;8178D;0.5(27)
01-12-2022;8178D;0.3(03)
01-01-2022;8025;1.4(17)
01-02-2022;8025;5.1(23)
01-03-2022;8025;5.8(09)
01-04-2022;8025;4.5(03)
01-05-2022;8025;11.8(06)
01-06-2022;8025;17.5(02)
01-07-2022;8025;20.2(08)
01-08-2022;8025;20.8(21)
01-09-2022;8025;15.3(27)
01-10-2022;8025;13.6(29)
01-11-2022;8025;5.8(27)
01-12-2022;8025;6.1(28)
01-01-2022;8019;1.5(16)
01-02-2022;8019;4.9(02)
01-03-2022;8019;4.8(01)
01-04-2022;8019;4.6(03)
01-05-2022;8019;11.3(06)
01-06-2022;8019;15.9(02)
01-07-2022;8019;20.1(09)
01-08-2022;8019;20.1(21)
01-09-2022;8019;15.9(30)
01-10-2022;8019;14.2(01)
01-11-2022;8019;5.4(27)
01-12-2022;8019;5.6(29)
01-01-2022;6325O;6.1(18)
01-02-2022;6325O;6.8(16)
01-03-2022;6325O;7.7(02)
01-04-2022;6325O;8.3(03)
01-05-2022;6325O;13.3(01)
01-06-2022;6325O;16.3(23)
01-07-2022;6325O;19.8(01)
01-08-2022;6325O;19.4(18)
01-09-2022;6325O;16.6(27)
01-10-2022;6325O;16.0(16)
01-11-2022;6325O;9.4(21)
01-12-2022;6325O;9.1(16)
01-01-2022;9091O;-5.8(27)
01-02-2022;9091O;-4.4(26)
01-03-2022;9091O;-0.7(01)
01-04-2022;9091O;-3.9(05)
01-05-2022;9091O;1.0(06)
01-06-2022;9091O;4.6(28)
01-07-2022;9091O;4.0(01)
01-08-2022;9091O;9.4(17)
01-09-2022;9091O;2.5(22)
01-10-2022;9091O;5.0(01)
01-11-2022;9091O;-0.7(27)
01-12-2022;9091O;-1.2(05)
01-01-2022;1212E;0.5(23)
01-02-2022;1212E;2.4(26)
01-03-2022;1212E;2.2(05)
01-04-2022;1212E;0
01-05-2022;1212E;0
01-06-2022;1212E;10.6(27)
01-07-2022;1212E;11.0(01)
01-08-2022;1212E;12.9(19)
01-09-2022;1212E;0
01-10-2022;1212E;9.2(20)
01-11-2022;1212E;6.1(05)
01-12-2022;1212E;0
01-01-2022;1208H;3.4(23)
01-02-2022;1208H;4.8(06)
01-03-2022;1208H;5.1(05)
01-04-2022;1208H;4.1(05)
01-05-2022;1208H;10.4(05)
01-06-2022;1208H;13.9(26)
01-07-2022;1208H;13.5(01)
01-08-2022;1208H;15.8(18)
01-09-2022;1208H;12.5(30)
01-10-2022;1208H;12.9(31)
01-11-2022;1208H;8.0(21)
01-12-2022;1208H;5.5(04)
01-01-2022;1249I;-0.6(23)
01-02-2022;1249I;0.8(06)
01-03-2022;1249I;1.4(05)
01-04-2022;1249I;-1.7(05)
01-05-2022;1249I;8.0(03)
01-06-2022;1249I;10.0(30)
01-07-2022;1249I;10.0(01)
01-08-2022;1249I;11.8(19)
01-09-2022;1249I;10.0(30)
01-10-2022;1249I;10.6(31)
01-11-2022;1249I;5.0(05)
01-12-2022;1249I;1.8(02)
01-01-2022;2444;-5.3(15)
01-02-2022;2444;-4.1(06)
01-03-2022;2444;-2.4(05)
01-04-2022;2444;-5.5(04)
01-05-2022;2444;4.3(07)
01-06-2022;2444;7.0(26)
01-07-2022;2444;10.5(01)
01-08-2022;2444;9.9(18)
01-09-2022;2444;4.8(26)
01-10-2022;2444;4.6(01)
01-11-2022;2444;-1.5(26)
01-12-2022;2444;-3.9(03)
01-01-2022;4452;-2.6(20)
01-02-2022;4452;-0.7(01)
01-03-2022;4452;3.2(07)
01-04-2022;4452;2.2(03)
01-05-2022;4452;9.7(02)
01-06-2022;4452;11.3(26)
01-07-2022;4452;15.5(01)
01-08-2022;4452;15.1(31)
01-09-2022;4452;11.4(30)
01-10-2022;4452;8.9(01)
01-11-2022;4452;1.4(30)
01-12-2022;4452;1.6(02)
01-01-2022;B954;1.2(07)
01-02-2022;B954;3.9(03)
01-03-2022;B954;6.1(09)
01-04-2022;B954;3.4(03)
01-05-2022;B954;9.3(07)
01-06-2022;B954;15.6(01)
01-07-2022;B954;18.6(13)
01-08-2022;B954;19.4(20)
01-09-2022;B954;0
01-10-2022;B954;0
01-11-2022;B954;7.1(26)
01-12-2022;B954;6.5(27)
01-01-2022;B893;1.2(27)
01-02-2022;B893;1.7(28)
01-03-2022;B893;1.3(08)
01-04-2022;B893;5.1(02)
01-05-2022;B893;9.5(02)
01-06-2022;B893;15.9(11)
01-07-2022;B893;18.1(02)
01-08-2022;B893;16.9(18)
01-09-2022;B893;12.3(30)
01-10-2022;B893;11.0(01)
01-11-2022;B893;5.9(27)
01-12-2022;B893;6.1(01)
01-01-2022;B278;-2.2(18)
01-02-2022;B278;0.3(07)
01-03-2022;B278;1.2(01)
01-04-2022;B278;0.8(03)
01-05-2022;B278;8.3(06)
